date; start; end; code; notes
2018-08-23; 0805; 2055
2018-08-24; 1440; 2000; desperté tarde, perdí la mañana, llegué a las 1300 a almorzar
2018-08-27; 1040; 1955
2018-08-28; 1100; 2000
2018-08-29; 1020; 1920
2018-08-30; 1030; 1830
2018-09-03; 0955; 1925
2018-09-04; 0955; 1900
2018-09-05; 1000; 1915
2018-09-06; 1010; 1910
2018-09-07; 0850; 1810
2018-09-10; 1000; 1900
2018-09-11; 1050; 2025
2018-09-12; 1120; 2015
2018-09-13; 0750; 1835
2018-09-14; 1020; 1730; asado en oficina por festejos del 18, no cuentan las horas menos
2018-09-20;;; vacaciones
2018-09-21;;; vacaciones
2018-09-24; 1025; 1930
2018-09-25; 1030; 1955
2018-09-26; 1030; 1935
2018-09-27; 1025; 2000
2018-09-28; 0830; 1800;;
